,-1,-0.96,-0.92,-0.88,-0.84,-0.8,-0.76,-0.72,-0.68,-0.64,-0.6,-0.56,-0.52,-0.48,-0.44,-0.4,-0.36,-0.32,-0.28,-0.24,-0.2,-0.16,-0.12,-0.08,-0.04,0,0.04,0.08,0.12,0.16,0.2,0.24,0.28,0.32,0.36,0.4,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.72,0.76,0.8,0.84,0.88,0.92,0.96,1
-0.52,31.546,34.694,37.94,41.254,44.852,48.59,52.992,57.36,61.802,66.312,70.942,75.088,78.912,82.502,85.512,88.234,90.51,92.466,94.1,95.38,96.376,97.066,97.612,97.898,98.052,98.096,98.052,97.948,97.774,97.39,96.958,96.326,95.464,94.336,93.04,91.182,89.086,86.404,83.34,79.64,75.392,70.272,64.612,58.772,52.598,46.19,40.282,34.724,29.548,25.452,21.898
-0.48,32.718,36.066,39.444,43.162,46.99,50.964,55.49,59.98,64.626,69.252,73.69,77.754,81.624,84.81,87.732,90.27,92.374,94.12,95.584,96.748,97.52,98.098,98.446,98.66,98.766,98.766,98.756,98.644,98.492,98.21,97.852,97.366,96.624,95.63,94.376,92.854,90.942,88.462,85.522,82.074,77.96,73.288,67.958,62.034,55.83,49.542,43.31,37.478,32.15,27.518,23.652
-0.44,33.874,37.33,41.008,44.898,48.98,53.278,57.912,62.568,67.282,71.834,76.23,80.194,83.82,86.854,89.582,92.036,93.984,95.494,96.758,97.7,98.304,98.736,99.002,99.138,99.25,99.288,99.26,99.174,99.056,98.844,98.554,98.092,97.428,96.61,95.506,94.152,92.342,90.14,87.474,84.166,80.304,75.958,70.8,65.028,58.842,52.638,46.254,40.192,34.644,29.666,25.414
-0.4,34.784,38.46,42.582,46.636,50.92,55.47,60.2,64.972,69.75,74.28,78.448,82.26,85.64,88.63,91.172,93.406,95.186,96.586,97.61,98.372,98.866,99.18,99.392,99.544,99.606,99.614,99.584,99.52,99.424,99.26,99.016,98.656,98.116,97.372,96.418,95.092,93.57,91.528,88.992,86.148,82.352,78.204,73.278,67.774,61.784,55.376,49.11,42.89,37.026,31.82,27.306
-0.36,35.842,39.722,43.918,48.138,52.8,57.5,62.258,67.246,71.832,76.286,80.352,84.086,87.324,90.146,92.478,94.51,96.172,97.368,98.286,98.874,99.254,99.494,99.648,99.746,99.78,99.788,99.776,99.752,99.686,99.566,99.352,99.054,98.584,97.948,97.1,95.93,94.516,92.644,90.316,87.616,84.114,80.172,75.522,70.138,64.302,57.96,51.674,45.412,39.312,33.926,29.252
-0.32,36.694,40.922,45.196,49.672,54.37,59.244,64.248,69.186,73.718,78.132,82.094,85.632,88.778,91.354,93.562,95.38,96.86,97.92,98.696,99.202,99.484,99.692,99.812,99.87,99.9,99.9,99.906,99.878,99.818,99.748,99.594,99.342,98.978,98.376,97.622,96.62,95.27,93.558,91.382,88.836,85.73,81.878,77.484,72.404,66.726,60.544,54.064,47.87,41.598,35.94,30.986
-0.28,37.568,41.882,46.404,51.02,55.932,60.858,66.026,70.846,75.404,79.66,83.532,86.928,89.974,92.36,94.446,96.144,97.404,98.41,99.056,99.442,99.688,99.842,99.914,99.958,99.964,99.966,99.958,99.942,99.9,99.832,99.736,99.54,99.226,98.73,98.012,97.118,95.908,94.256,92.308,89.854,86.86,83.336,79.104,74.166,68.75,62.674,56.306,50.002,43.87,37.956,32.688
-0.24,38.224,42.84,47.45,52.28,57.32,62.376,67.544,72.21,76.872,81.11,84.82,88.064,90.872,93.156,95.144,96.724,97.844,98.732,99.254,99.614,99.812,99.914,99.972,99.982,99.996,99.992,99.988,99.972,99.956,99.906,99.826,99.684,99.39,98.984,98.344,97.486,96.394,94.866,92.98,90.706,87.954,84.602,80.464,75.862,70.518,64.59,58.302,52.008,45.884,39.856,34.376
-0.2,38.912,43.654,48.31,53.306,58.516,63.804,68.808,73.56,78.1,82.222,85.854,88.938,91.592,93.864,95.702,97.128,98.18,98.944,99.402,99.716,99.878,99.956,99.99,99.996,99.998,99.998,99.994,99.99,99.976,99.94,99.876,99.754,99.54,99.162,98.608,97.8,96.788,95.406,93.53,91.414,88.734,85.556,81.656,77.25,72.058,66.428,60.382,53.902,47.622,41.688,36.066
-0.16,39.428,44.098,49.008,54.21,59.518,64.908,69.924,74.722,79.18,83.15,86.612,89.676,92.208,94.384,96.116,97.442,98.42,99.114,99.526,99.786,99.912,99.974,100,100,100,100,100,99.996,99.986,99.972,99.908,99.81,99.62,99.298,98.79,98.054,97.068,95.784,94,91.978,89.456,86.37,82.598,78.45,73.55,68.006,61.962,55.692,49.33,43.34,37.67
-0.12,39.67,44.592,49.694,54.876,60.332,65.732,70.706,75.626,79.974,83.838,87.22,90.232,92.682,94.744,96.404,97.712,98.59,99.236,99.612,99.838,99.95,99.992,100,100,100,100,100,100,99.994,99.978,99.938,99.84,99.698,99.396,98.944,98.278,97.29,96.066,94.39,92.43,90.046,87.116,83.39,79.344,74.682,69.352,63.346,57.242,50.898,44.868,39.064
